,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,BreakingNews,Breaking News,6017542,1234858847350722565,/BreakingNews/status/1234858847350722565,2020-03-03 15:11:06,1583248266,"US Federal Reserve cuts rates by half a percentage point to combat coronavirus slowdown:

""The fundamentals of the U.S. economy remain strong. However, the coronavirus poses evolving risks to economic activity."" https://twitter.com/CNBC/status/1234857626997022721 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">US Federal Reserve cuts rates by half a percentage point to combat <strong>coronavirus</strong> slowdown:

""The fundamentals of the U.S. economy remain strong. However, the <strong>coronavirus</strong> poses evolving risks to economic activity."" <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/CNBC/status/1234857626997022721"" dir=""ltr"" href=""https://t.co/Jc9ArVpECY"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/CNBC/status/1234857626997022721""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/CNBC/status/12</span><span class=""invisible"">34857626997022721</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/CNBC/status/1234857626997022721'],[],False,[],,122,103,12,True,False,,[]
1,BreakingNews,Breaking News,6017542,1252120213857984512,/BreakingNews/status/1252120213857984512,2020-04-20 06:21:36,1587363696,Shake Shack announces it's returning a $10 million government loan meant for small businesses struggling in the economic fallout from the coronavirus pandemic. https://nbcnews.to/3eAeYIq ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Shake Shack announces it's returning a $10 million government loan meant for small businesses struggling in the economic fallout from the <strong>coronavirus</strong> pandemic. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nbcnews.to/3eAeYIq"" dir=""ltr"" href=""https://t.co/8ACwGI4ZyX"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcnews.to/3eAeYIq""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcnews.to/3eAeYIq</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://nbcnews.to/3eAeYIq'],[],False,[],,1279,363,58,True,False,,[]
2,BreakingNews,Breaking News,6017542,1251887874871627779,/BreakingNews/status/1251887874871627779,2020-04-19 14:58:22,1587308302,"More than 100,000 people in Europe have died due to the coronavirus, according to a Johns Hopkins University tally. https://nbcnews.to/3bmpjpp ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">More than 100,000 people in Europe have died due to the <strong>coronavirus</strong>, according to a Johns Hopkins University tally. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nbcnews.to/3bmpjpp"" dir=""ltr"" href=""https://t.co/qZGSHbsM5K"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcnews.to/3bmpjpp""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcnews.to/3bmpjpp</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://nbcnews.to/3bmpjpp'],[],False,[],,123,115,16,True,False,,[]
3,BreakingNews,Breaking News,6017542,1251654848581378049,/BreakingNews/status/1251654848581378049,2020-04-18 23:32:25,1587252745,"U.S. Navy reported on Saturday that 669 of the nearly 5,000 people who worked aboard the USS Theodore Roosevelt have tested positive for the coronavirus. https://nbcnews.to/3eARJxV ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">U.S. Navy reported on Saturday that 669 of the nearly 5,000 people who worked aboard the USS Theodore Roosevelt have tested positive for the <strong>coronavirus</strong>. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nbcnews.to/3eARJxV"" dir=""ltr"" href=""https://t.co/DEATmu44E8"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcnews.to/3eARJxV""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcnews.to/3eARJxV</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://nbcnews.to/3eARJxV'],[],False,[],,129,97,8,True,False,,[]
4,BreakingNews,Breaking News,6017542,1251540307398799360,/BreakingNews/status/1251540307398799360,2020-04-18 15:57:16,1587225436,"More than 700,000 people in the US have tested positive for coronavirus. http://nbcnews.to/3euhX5b ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">More than 700,000 people in the US have tested positive for <strong>coronavirus</strong>. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://nbcnews.to/3euhX5b"" dir=""ltr"" href=""https://t.co/jXiPhhvX8V"" rel=""nofollow noopener"" target=""_blank"" title=""http://nbcnews.to/3euhX5b""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">nbcnews.to/3euhX5b</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://nbcnews.to/3euhX5b'],[],False,[],,162,154,36,True,False,,[]
5,BreakingNews,Breaking News,6017542,1257007301619302403,/BreakingNews/status/1257007301619302403,2020-05-03 18:01:09,1588528869,Italy reaches lowest coronavirus death toll since March 10. https://nbcnews.to/2YvDrZY ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Italy reaches lowest <strong>coronavirus</strong> death toll since March 10. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nbcnews.to/2YvDrZY"" dir=""ltr"" href=""https://t.co/FJlUFVN3oI"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcnews.to/2YvDrZY""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcnews.to/2YvDrZY</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://nbcnews.to/2YvDrZY'],[],False,[],,275,74,11,True,False,,[]
6,BreakingNews,Breaking News,6017542,1256713855163654145,/BreakingNews/status/1256713855163654145,2020-05-02 22:35:06,1588458906,"Violent clash over coronavirus tests at ICE detention center in Massachusetts ends with 3 detainees sent to a hospital and $25,000 in damage to the center, authorities say. https://nbcnews.to/3c4ilpG ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Violent clash over <strong>coronavirus</strong> tests at ICE detention center in Massachusetts ends with 3 detainees sent to a hospital and $25,000 in damage to the center, authorities say. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nbcnews.to/3c4ilpG"" dir=""ltr"" href=""https://t.co/SlbCROudfH"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcnews.to/3c4ilpG""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcnews.to/3c4ilpG</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://nbcnews.to/3c4ilpG'],[],False,[],,79,58,12,True,False,,[]
7,BreakingNews,Breaking News,6017542,1256685480617357313,/BreakingNews/status/1256685480617357313,2020-05-02 20:42:21,1588452141,"The Senate and the House ""respectfully decline"" the White House's offer to provide lawmakers with rapid coronavirus testing capabilities. https://nbcnews.to/2ydpDsu ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Senate and the House ""respectfully decline"" the White House's offer to provide lawmakers with rapid <strong>coronavirus</strong> testing capabilities. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nbcnews.to/2ydpDsu"" dir=""ltr"" href=""https://t.co/cPM8BD8ibl"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcnews.to/2ydpDsu""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcnews.to/2ydpDsu</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://nbcnews.to/2ydpDsu'],[],False,[],,82,43,19,True,False,,[]
8,BreakingNews,Breaking News,6017542,1256354713269932032,/BreakingNews/status/1256354713269932032,2020-05-01 22:48:00,1588373280,"The White House has blocked Dr. Fauci from testifying about the response to coronavirus before the House Appropriations Cmte., a cmte. spokesman tells @NBCNews.https://nbcnews.to/2KSwzOc ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The White House has blocked Dr. Fauci from testifying about the response to <strong>coronavirus</strong> before the House Appropriations Cmte., a cmte. spokesman tells <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14173315"" dir=""ltr"" href=""/NBCNews""><s>@</s><b>NBCNews</b></a>.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nbcnews.to/2KSwzOc"" dir=""ltr"" href=""https://t.co/H4qfQDeDHp"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcnews.to/2KSwzOc""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcnews.to/2KSwzOc</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://nbcnews.to/2KSwzOc'],[],False,[],,448,351,114,True,False,,[]
9,BreakingNews,Breaking News,6017542,1256314787585314816,/BreakingNews/status/1256314787585314816,2020-05-01 20:09:21,1588363761,FDA authorizes emergency use of remdesivir to treat the most severely ill coronavirus patients. https://nbcnews.to/2L3yO1v ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">FDA authorizes emergency use of remdesivir to treat the most severely ill <strong>coronavirus</strong> patients. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nbcnews.to/2L3yO1v"" dir=""ltr"" href=""https://t.co/lCatrZWvQ9"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcnews.to/2L3yO1v""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcnews.to/2L3yO1v</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://nbcnews.to/2L3yO1v'],[],False,[],,124,65,5,True,False,,[]
